"x" "y" "AGB"
18.75 69.75 17.9953708648682
19.25 69.75 17.3591175079346
20.25 69.75 11.0905275344849
20.75 69.75 9.20140552520752
21.25 69.75 8.09202480316162
21.75 69.75 5.79325771331787
22.25 69.75 4.10758495330811
22.75 69.75 3.57288837432861
23.25 69.75 4.3807053565979
23.75 69.75 4.31118059158325
24.25 69.75 4.3692512512207
24.75 69.75 4.56962728500366
25.25 69.75 4.87569332122803
25.75 69.75 5.04188919067383
26.25 69.75 13.73095703125
26.75 69.75 14.870306968689
27.25 69.75 15.7331943511963
27.75 69.75 16.3890132904053
28.25 69.75 16.9963321685791
28.75 69.75 17.5620155334473
29.25 69.75 17.9072074890137
101.25 69.75 0.0208044517785311
101.75 69.75 0.062782846391201
103.25 69.75 1.89623510837555
103.75 69.75 1.48685014247894
105.75 69.75 0
106.25 69.75 0.000439824303612113
107.75 69.75 0.284834325313568
108.25 69.75 0.35893777012825
109.25 69.75 0.456929504871368
109.75 69.75 0.433768928050995
110.25 69.75 0.404166370630264
110.75 69.75 0.377958685159683
112.25 69.75 1.41858625411987
112.75 69.75 1.81553745269775
113.25 69.75 3.89066696166992
113.75 69.75 8.17127132415771
114.25 69.75 13.7884082794189
114.75 69.75 18.2370433807373
115.25 69.75 20.8027801513672
115.75 69.75 21.7556133270264
116.25 69.75 21.6886405944824
116.75 69.75 20.0601348876953
117.25 69.75 17.0976123809814
117.75 69.75 14.314715385437
118.25 69.75 13.6920003890991
118.75 69.75 16.0850143432617
119.25 69.75 18.4699821472168
119.75 69.75 19.0159912109375
120.25 69.75 17.9564876556396
120.75 69.75 16.5844764709473
121.25 69.75 13.9151210784912
121.75 69.75 10.1088886260986
122.25 69.75 8.67589473724365
122.75 69.75 9.83151054382324
123.25 69.75 13.4587926864624
123.75 69.75 17.6052265167236
124.25 69.75 20.0031986236572
124.75 69.75 19.2673854827881
125.25 69.75 16.1456966400146
125.75 69.75 12.7181348800659
126.25 69.75 8.56178092956543
126.75 69.75 5.72585010528564
127.25 69.75 4.59799671173096
127.75 69.75 5.02790260314941
128.25 69.75 5.89448261260986
131.75 69.75 3.40221500396729
132.25 69.75 3.05146288871765
132.75 69.75 1.96136772632599
133.25 69.75 1.41103184223175
134.25 69.75 2.28866600990295
134.75 69.75 2.55361485481262
135.25 69.75 2.79426455497742
135.75 69.75 2.97025799751282
140.75 69.75 1.06999588012695
141.25 69.75 0.479537576436996
150.25 69.75 2.44129848480225
150.75 69.75 2.34099388122559
151.25 69.75 2.17011380195618
151.75 69.75 2.17638611793518
152.25 69.75 2.59434604644775
17.25 69.25 19.9038257598877
17.75 69.25 20.7053451538086
18.25 69.25 20.9565258026123
18.75 69.25 19.9314117431641
19.25 69.25 17.5663604736328
19.75 69.25 13.7164392471313
20.25 69.25 9.36886119842529
20.75 69.25 5.65971231460571
21.25 69.25 3.29232358932495
21.75 69.25 2.48813509941101
22.25 69.25 2.64437031745911
22.75 69.25 2.90624403953552
23.25 69.25 3.24683618545532
23.75 69.25 3.58858799934387
24.25 69.25 4.19177675247192
24.75 69.25 5.1626672744751
25.25 69.25 6.43936395645142
25.75 69.25 7.78075504302979
26.25 69.25 27.7799606323242
26.75 69.25 28.2885551452637
27.25 69.25 29.062479019165
27.75 69.25 29.5945873260498
28.25 69.25 30.2731266021729
28.75 69.25 30.9332008361816
29.25 69.25 31.4122467041016
29.75 69.25 31.7490463256836
99.25 69.25 0.276971250772476
99.75 69.25 0.25180572271347
100.25 69.25 0.249797374010086
100.75 69.25 0.262144297361374
101.25 69.25 0.260787218809128
101.75 69.25 0.357218503952026
102.25 69.25 0.862384498119354
102.75 69.25 3.47172856330872
103.25 69.25 7.82725620269775
103.75 69.25 10.6382503509521
104.25 69.25 9.58816337585449
104.75 69.25 7.50947904586792
105.25 69.25 7.75544929504395
105.75 69.25 9.39195346832275
106.25 69.25 11.2840175628662
108.25 69.25 4.54738664627075
108.75 69.25 3.28530263900757
110.75 69.25 14.0352020263672
111.25 69.25 13.4299926757812
111.75 69.25 13.0575466156006
112.25 69.25 13.8385944366455
112.75 69.25 15.594352722168
113.25 69.25 16.543399810791
114.25 69.25 18.8056144714355
114.75 69.25 21.8966579437256
115.25 69.25 22.0414295196533
115.75 69.25 20.3700122833252
116.25 69.25 16.9907112121582
116.75 69.25 13.9947919845581
117.25 69.25 10.9554395675659
117.75 69.25 8.02155303955078
118.25 69.25 7.4173731803894
118.75 69.25 8.29844856262207
119.25 69.25 9.94736194610596
119.75 69.25 10.4372787475586
120.25 69.25 11.1226091384888
120.75 69.25 12.9277143478394
121.25 69.25 15.5489654541016
121.75 69.25 17.4597072601318
122.25 69.25 19.4817295074463
122.75 69.25 21.7021045684814
123.25 69.25 23.434253692627
123.75 69.25 26.6797466278076
124.25 69.25 27.6809329986572
124.75 69.25 24.8181686401367
125.25 69.25 18.3115882873535
125.75 69.25 13.6822137832642
126.25 69.25 11.9560241699219
127.75 69.25 6.04938554763794
131.25 69.25 1.28208386898041
131.75 69.25 1.38635265827179
132.25 69.25 1.2976233959198
132.75 69.25 1.86108982563019
134.25 69.25 9.30612659454346
134.75 69.25 8.47582054138184
135.25 69.25 7.94461297988892
135.75 69.25 8.04005527496338
137.25 69.25 7.03837633132935
137.75 69.25 6.87097311019897
138.25 69.25 6.27217292785645
138.75 69.25 4.98578929901123
140.75 69.25 1.98468017578125
141.25 69.25 2.18616437911987
