true_labels,s,m,share_mean,share_sd,class
0,Control,1,0.7707826932425863,0.00378624920033223,Conifer recovery
0,Control,2,0.8183641225085075,0.0034135392283397253,Conifer recovery
0,Control,3,0.6866458704693998,0.0010784997673858856,Conifer recovery
0,Control,4,0.9235807270566629,0.002350418185297501,Conifer recovery
0,Control,5,0.8779303732512289,0.003624584344274482,Conifer recovery
0,Control,6,0.9263220439691028,0.0030311321255710286,Conifer recovery
0,SSP1-RCP2.6,1,0.8192271552736669,0.003481694016416012,Conifer recovery
0,SSP1-RCP2.6,2,0.8120624853182993,0.005246608406813562,Conifer recovery
0,SSP1-RCP2.6,3,0.8417899929527837,7.011891734366631e-4,Conifer recovery
0,SSP1-RCP2.6,4,0.950082217524078,0.0035983782906124366,Conifer recovery
0,SSP1-RCP2.6,5,0.8488724453840732,0.005381276719657105,Conifer recovery
0,SSP1-RCP2.6,6,0.965374677002584,0.0032447586542599326,Conifer recovery
0,SSP5-RCP8.5,1,0.7510195118890771,0.0036325734114809466,Conifer recovery
0,SSP5-RCP8.5,2,0.5957556935817805,0.006793874370502909,Conifer recovery
0,SSP5-RCP8.5,3,0.937888198757764,0,Conifer recovery
0,SSP5-RCP8.5,4,0.9083380387728214,0.00455938311221482,Conifer recovery
0,SSP5-RCP8.5,5,0.702177050003137,0.008335474632628674,Conifer recovery
0,SSP5-RCP8.5,6,0.9064715477758956,0.004545188916061417,Conifer recovery
1,Control,1,0.6740907772239365,0.0061778659210487245,Deciduous transient
1,Control,2,0.7364902286573305,0.0053741198977829445,Deciduous transient
1,Control,3,0.8718516760292218,0.002099295697669372,Deciduous transient
1,Control,4,0.879579080623467,0.005235538399789849,Deciduous transient
1,Control,5,0.7981775984386951,0.005541580787183675,Deciduous transient
1,Control,6,0.9012448242213256,0.004488796083212482,Deciduous transient
1,SSP1-RCP2.6,1,0.8314814814814815,0.003745670388761752,Deciduous transient
1,SSP1-RCP2.6,2,0.8568291611769873,0.003311158623240464,Deciduous transient
1,SSP1-RCP2.6,3,0.6884057971014492,0,Deciduous transient
1,SSP1-RCP2.6,4,0.9465012443273313,0.0020180771225508883,Deciduous transient
1,SSP1-RCP2.6,5,0.8780266432440346,0.0037551084315414107,Deciduous transient
1,SSP1-RCP2.6,6,0.952415458937198,0.0021935424534593284,Deciduous transient
1,SSP5-RCP8.5,1,0.77217794290965025,0.004119710679263597,Deciduous transient
1,SSP5-RCP8.5,2,0.9118741801668631,0.0027818617685418682,Deciduous transient
1,SSP5-RCP8.5,3,0.7153006665201788,0.005830146851866227,Deciduous transient
1,SSP5-RCP8.5,4,0.9542691250008323,0.002407507798985469,Deciduous transient
1,SSP5-RCP8.5,5,0.9437153339592363,0.002265404576512236,Deciduous transient
1,SSP5-RCP8.5,6,0.9665607958290885,0.0019063910493901672,Deciduous transient
