s,age,mean_diff
Control,0,0
Control,1,0
Control,2,0.07494737802796944
Control,3,0.0935423058249671
Control,4,0.11057062068477967
Control,5,0.12935392875930657
Control,6,0.1412955023427909
Control,7,0.15718777932972636
Control,8,0.1624458098172687
Control,9,0.16618027244845018
Control,10,0.16905140991000897
Control,11,0.17149130474714286
Control,12,0.17780495769987356
Control,13,0.18002216531340764
Control,14,0.18254473242794933
Control,15,0.1848886489925957
Control,16,0.18829527742612975
Control,17,0.19541692405560374
Control,18,0.20025057398981833
Control,19,0.20583268870679364
Control,20,0.21177912324210313
Control,21,0.2185566523584509
Control,22,0.22936641375700806
Control,23,0.23729653606290507
Control,24,0.24547088609426354
Control,25,0.2536578368257296
Control,26,0.2621229011458037
Control,27,0.2734648293054331
Control,28,0.28249380290961007
Control,29,0.29111813825547955
Control,30,0.29947373513098136
Control,31,0.30822417971554417
Control,32,0.31912668359343344
Control,33,0.3282775926918916
Control,34,0.3371454634736186
Control,35,0.3460111114745089
Control,36,0.35425619643115897
Control,37,0.364966341165626
Control,38,0.3727357329846232
Control,39,0.3805082713798179
Control,40,0.3882657264775579
Control,41,0.3953967807908959
Control,42,0.40476053909402865
Control,43,0.4120887339804769
Control,44,0.4191804539653057
Control,45,0.4268984461977154
Control,46,0.4339598588501262
Control,47,0.44397078733935097
Control,48,0.4508028030320753
Control,49,0.4576188112056348
Control,50,0.46471591397125656
Control,51,0.47119764245575124
Control,52,0.4801987878630704
Control,53,0.4872917400179727
Control,54,0.49431860786756426
Control,55,0.5018642184552724
Control,56,0.5098801206847848
Control,57,0.5189932743235807
Control,58,0.5260113029082136
Control,59,0.533205912943958
Control,60,0.540483103276805
Control,61,0.5469856503605255
Control,62,0.5558571218273894
Control,63,0.56311713312605
Control,64,0.5706513036862574
Control,65,0.5784392273129958
Control,66,0.5863141838999595
Control,67,0.5960325592454951
Control,68,0.6042605430488022
Control,69,0.6130045100376017
Control,70,0.6212829500693317
Control,71,0.630283437354735
Control,72,0.6400591791287722
Control,73,0.6485332420191325
Control,74,0.6573401488319914
Control,75,0.6660508981583286
Control,76,0.6747471914559807
Control,77,0.6852293448211643
Control,78,0.6934512317906163
Control,79,0.7023743383975772
Control,80,0.7116691830818358
Control,81,0.7201858861450853
Control,82,0.7302128214763902
Control,83,0.7390633445897093
Control,84,0.7482777679752819
Control,85,0.7572930281969658
Control,86,0.766919417342718
Control,87,0.7770908677501585
