s,age,class,mean_diff
Control,0,Direct conifer recovery,0
Control,0,Deciduous transient,0
Control,1,Direct conifer recovery,0
Control,1,Deciduous transient,0
Control,2,Direct conifer recovery,0.07440353532836896
Control,2,Deciduous transient,0.06358138177696096
Control,3,Direct conifer recovery,0.09043771467486166
Control,3,Deciduous transient,0.08466206419823967
Control,4,Direct conifer recovery,0.10517422254581126
Control,4,Deciduous transient,0.10350043424735507
Control,5,Direct conifer recovery,0.12568823420017636
Control,5,Deciduous transient,0.11837508853311762
Control,6,Direct conifer recovery,0.14044850619965857
Control,6,Deciduous transient,0.1275869806275077
Control,7,Direct conifer recovery,0.15904565794568215
Control,7,Deciduous transient,0.1378982277507225
Control,8,Direct conifer recovery,0.16534879773257968
Control,8,Deciduous transient,0.14308536472809386
Control,9,Direct conifer recovery,0.1692104707488442
Control,9,Deciduous transient,0.14772440157214817
Control,10,Direct conifer recovery,0.17113511570874232
Control,10,Deciduous transient,0.15218884258362106
Control,11,Direct conifer recovery,0.1715251048290616
Control,11,Deciduous transient,0.15733669464469807
Control,12,Direct conifer recovery,0.17715255668636712
Control,12,Deciduous transient,0.165092947374384
Control,13,Direct conifer recovery,0.17830843064076557
Control,13,Deciduous transient,0.17140123185823306
Control,14,Direct conifer recovery,0.17903442271732278
Control,14,Deciduous transient,0.1772588163402536
Control,15,Direct conifer recovery,0.18087507996065968
Control,15,Deciduous transient,0.1860204137006667
Control,16,Direct conifer recovery,0.18238069752304148
Control,16,Deciduous transient,0.19566164483822446
Control,17,Direct conifer recovery,0.18822820766549458
Control,17,Deciduous transient,0.20729024413954375
Control,18,Direct conifer recovery,0.1905169619659823
Control,18,Deciduous transient,0.21838365261185022
Control,19,Direct conifer recovery,0.19342221196922646
Control,19,Deciduous transient,0.23108940607092593
Control,20,Direct conifer recovery,0.19744405856442512
Control,20,Deciduous transient,0.24510045408134795
Control,21,Direct conifer recovery,0.2010917926687295
Control,21,Deciduous transient,0.26020806576093425
Control,22,Direct conifer recovery,0.20996458890730008
Control,22,Deciduous transient,0.27694523935340626
Control,23,Direct conifer recovery,0.2142563826355571
Control,23,Deciduous transient,0.29401916469323
Control,24,Direct conifer recovery,0.21814739973080252
Control,24,Deciduous transient,0.3106044921536536
Control,25,Direct conifer recovery,0.22308894373281973
Control,25,Deciduous transient,0.3272652190581643
Control,26,Direct conifer recovery,0.22809156204537462
Control,26,Deciduous transient,0.34360786631142826
Control,27,Direct conifer recovery,0.2375218350881228
Control,27,Deciduous transient,0.3610327208538371
Control,28,Direct conifer recovery,0.24244325243196935
Control,28,Deciduous transient,0.37894631157230135
Control,29,Direct conifer recovery,0.2481411342119552
Control,29,Deciduous transient,0.39642465462638354
Control,30,Direct conifer recovery,0.2534918953075063
Control,30,Deciduous transient,0.4129247942490247
Control,31,Direct conifer recovery,0.2587819646683096
Control,31,Deciduous transient,0.42978495376307935
Control,32,Direct conifer recovery,0.26733565718789365
Control,32,Deciduous transient,0.4455686822387532
Control,33,Direct conifer recovery,0.2720309656014895
Control,33,Deciduous transient,0.4620331817163354
Control,34,Direct conifer recovery,0.2772776513355207
Control,34,Deciduous transient,0.4765690719324836
Control,35,Direct conifer recovery,0.28247566034367844
Control,35,Deciduous transient,0.4925182488825241
Control,36,Direct conifer recovery,0.2880176429899179
Control,36,Deciduous transient,0.5078678563726174
Control,37,Direct conifer recovery,0.2960635201777179
Control,37,Deciduous transient,0.5238719732476824
Control,38,Direct conifer recovery,0.3018674314207886
Control,38,Deciduous transient,0.5397436562907634
Control,39,Direct conifer recovery,0.30685763989666504
Control,39,Deciduous transient,0.5543748840894016
Control,40,Direct conifer recovery,0.3128499628964608
Control,40,Deciduous transient,0.5703840387305351
Control,41,Direct conifer recovery,0.31807148466327456
Control,41,Deciduous transient,0.5866153037755839
Control,42,Direct conifer recovery,0.3262049096838832
Control,42,Deciduous transient,0.6012495906528195
Control,43,Direct conifer recovery,0.3310407484654561
Control,43,Deciduous transient,0.6159308974719182
Control,44,Direct conifer recovery,0.33651099192805306
Control,44,Deciduous transient,0.6280446991403104
Control,45,Direct conifer recovery,0.34127621797814495
Control,45,Deciduous transient,0.642271930530373
Control,46,Direct conifer recovery,0.34648586097018746
Control,46,Deciduous transient,0.6548841988077456
Control,47,Direct conifer recovery,0.3539320445257751
Control,47,Deciduous transient,0.6695142691966776
Control,48,Direct conifer recovery,0.3586958598762693
Control,48,Deciduous transient,0.6841293843676658
Control,49,Direct conifer recovery,0.3635502085966314
Control,49,Deciduous transient,0.6948759457976357
Control,50,Direct conifer recovery,0.3687271406998782
Control,50,Deciduous transient,0.7053738979063785
Control,51,Direct conifer recovery,0.37390373375493774
Control,51,Deciduous transient,0.7181114851165943
Control,52,Direct conifer recovery,0.3812310740133286
Control,52,Deciduous transient,0.7343941042028512
Control,53,Direct conifer recovery,0.38548623463703824
Control,53,Deciduous transient,0.7469733106846583
Control,54,Direct conifer recovery,0.39078533280729816
Control,54,Deciduous transient,0.7613853338243703
Control,55,Direct conifer recovery,0.3960471942001823
Control,55,Deciduous transient,0.7770356181320159
Control,56,Direct conifer recovery,0.4013758406194436
Control,56,Deciduous transient,0.7924799045462114
Control,57,Direct conifer recovery,0.408761815377156
Control,57,Deciduous transient,0.8071780594561248
Control,58,Direct conifer recovery,0.41402293619103053
Control,58,Deciduous transient,0.8219317201596417
Control,59,Direct conifer recovery,0.41905571770977523
Control,59,Deciduous transient,0.8351720235154757
Control,60,Direct conifer recovery,0.42430691862685044
Control,60,Deciduous transient,0.8513720048011002
Control,61,Direct conifer recovery,0.42997877702646503
Control,61,Deciduous transient,0.866078576197924
Control,62,Direct conifer recovery,0.437725219930071
Control,62,Deciduous transient,0.8822289433447599
Control,63,Direct conifer recovery,0.4434557849084205
Control,63,Deciduous transient,0.8979800717496599
Control,64,Direct conifer recovery,0.449427205321064
Control,64,Deciduous transient,0.9130051791344952
Control,65,Direct conifer recovery,0.4554739640742094
Control,65,Deciduous transient,0.9282818040707028
Control,66,Direct conifer recovery,0.4618864521873155
Control,66,Deciduous transient,0.9427326591865135
Control,67,Direct conifer recovery,0.47020106116014154
Control,67,Deciduous transient,0.9573732670255127
Control,68,Direct conifer recovery,0.47637555540544957
Control,68,Deciduous transient,0.9722465582732174
Control,69,Direct conifer recovery,0.4821916593866459
Control,69,Deciduous transient,0.9869346401016277
Control,70,Direct conifer recovery,0.48793335946445204
Control,70,Deciduous transient,NA
Control,71,Direct conifer recovery,0.49387530637998495
Control,71,Deciduous transient,NA
Control,72,Direct conifer recovery,0.5023031759681746
Control,72,Deciduous transient,NA
Control,73,Direct conifer recovery,0.5092394993178286
Control,73,Deciduous transient,NA
Control,74,Direct conifer recovery,0.5159273880660264
Control,74,Deciduous transient,NA
Control,75,Direct conifer recovery,0.5228722565417243
Control,75,Deciduous transient,NA
Control,76,Direct conifer recovery,0.5303404489577109
Control,76,Deciduous transient,NA
Control,77,Direct conifer recovery,0.5398253520387322
Control,77,Deciduous transient,NA
Control,78,Direct conifer recovery,0.546371197623394
Control,78,Deciduous transient,NA
Control,79,Direct conifer recovery,0.5533104682565394
Control,79,Deciduous transient,NA
Control,80,Direct conifer recovery,0.5605445339278782
Control,80,Deciduous transient,NA
Control,81,Direct conifer recovery,0.5676856563172072
Control,81,Deciduous transient,NA
Control,82,Direct conifer recovery,0.5768608940071316
Control,82,Deciduous transient,NA
Control,83,Direct conifer recovery,0.5842796155146759
Control,83,Deciduous transient,NA
Control,84,Direct conifer recovery,0.5911588847793929
Control,84,Deciduous transient,NA
Control,85,Direct conifer recovery,0.5983760829103092
Control,85,Deciduous transient,NA
Control,86,Direct conifer recovery,0.605720226858531
Control,86,Deciduous transient,NA
Control,87,Direct conifer recovery,0.6144574225324216
Control,87,Deciduous transient,NA
Control,88,Direct conifer recovery,0.6218657603612676
Control,88,Deciduous transient,NA
Control,89,Direct conifer recovery,0.6302697900876363
Control,89,Deciduous transient,NA
Control,90,Direct conifer recovery,0.6384984248461978
Control,90,Deciduous transient,NA
Control,91,Direct conifer recovery,0.6469917666782132
Control,91,Deciduous transient,NA
Control,92,Direct conifer recovery,0.6557405793898355
Control,92,Deciduous transient,NA
Control,93,Direct conifer recovery,0.6633391540791134
Control,93,Deciduous transient,NA
Control,94,Direct conifer recovery,0.671054470039461
Control,94,Deciduous transient,NA
Control,95,Direct conifer recovery,0.6785473043179827
Control,95,Deciduous transient,NA
Control,96,Direct conifer recovery,0.6847680574992676
Control,96,Deciduous transient,NA
Control,97,Direct conifer recovery,0.6944031044625624
Control,97,Deciduous transient,NA
Control,98,Direct conifer recovery,0.7013794399372584
Control,98,Deciduous transient,NA
Control,99,Direct conifer recovery,0.707905490745311
Control,99,Deciduous transient,NA
Control,100,Direct conifer recovery,0.7149365904145573
Control,100,Deciduous transient,NA
Control,101,Direct conifer recovery,0.7207399978330888
Control,101,Deciduous transient,NA
Control,102,Direct conifer recovery,0.730559612781229
Control,102,Deciduous transient,NA
Control,103,Direct conifer recovery,0.7371184189684871
Control,103,Deciduous transient,NA
Control,104,Direct conifer recovery,0.7444331754890582
Control,104,Deciduous transient,NA
Control,105,Direct conifer recovery,0.7526895429999279
Control,105,Deciduous transient,NA
Control,106,Direct conifer recovery,0.7588069973190921
Control,106,Deciduous transient,NA
Control,107,Direct conifer recovery,0.7686469360516337
Control,107,Deciduous transient,NA
Control,108,Direct conifer recovery,0.7778764322757358
Control,108,Deciduous transient,NA
Control,109,Direct conifer recovery,0.7851844654282757
Control,109,Deciduous transient,NA
Control,110,Direct conifer recovery,0.7896991274065253
Control,110,Deciduous transient,NA
Control,111,Direct conifer recovery,0.7920655403136495
Control,111,Deciduous transient,NA
Control,112,Direct conifer recovery,0.7993870227295912
Control,112,Deciduous transient,NA
Control,113,Direct conifer recovery,0.8073025647549236
Control,113,Deciduous transient,NA
Control,114,Direct conifer recovery,0.8128757862654897
Control,114,Deciduous transient,NA
Control,115,Direct conifer recovery,0.8224714577891671
Control,115,Deciduous transient,NA
Control,116,Direct conifer recovery,0.8276862668670091
Control,116,Deciduous transient,NA
Control,117,Direct conifer recovery,0.838353777168754
Control,117,Deciduous transient,NA
Control,118,Direct conifer recovery,0.8305984824588764
Control,118,Deciduous transient,NA
Control,119,Direct conifer recovery,0.8295397393762239
Control,119,Deciduous transient,NA
Control,120,Direct conifer recovery,0.8299165503339911
Control,120,Deciduous transient,NA
Control,121,Direct conifer recovery,0.8368993100419592
Control,121,Deciduous transient,NA
Control,122,Direct conifer recovery,0.8520073790322196
Control,122,Deciduous transient,NA
Control,123,Direct conifer recovery,0.8605175152570154
Control,123,Deciduous transient,NA
Control,124,Direct conifer recovery,0.8666592793435373
Control,124,Deciduous transient,NA
Control,125,Direct conifer recovery,0.8455420677464034
Control,125,Deciduous transient,NA
SSP1-RCP2.6,0,Direct conifer recovery,0
SSP1-RCP2.6,0,Deciduous transient,0
SSP1-RCP2.6,1,Direct conifer recovery,0
SSP1-RCP2.6,1,Deciduous transient,0
SSP1-RCP2.6,2,Direct conifer recovery,0.039587955748061905
SSP1-RCP2.6,2,Deciduous transient,0.044064513396076324
SSP1-RCP2.6,3,Direct conifer recovery,0.05359316994098175
SSP1-RCP2.6,3,Deciduous transient,0.06317833266221247
SSP1-RCP2.6,4,Direct conifer recovery,0.06859468572163031
SSP1-RCP2.6,4,Deciduous transient,0.07936770010047459
SSP1-RCP2.6,5,Direct conifer recovery,0.08720715207328482
