s,age,PFT,relative_mean
Control,0,Non-tree V.,0
Control,0,Temperate broadleaf,0
Control,0,Conifers (other),0
Control,0,Pioneering broadleaf,0
Control,0,Needleleaf evergreen,0
Control,1,Non-tree V.,0
Control,1,Temperate broadleaf,0
Control,1,Conifers (other),0
Control,1,Pioneering broadleaf,0
Control,1,Needleleaf evergreen,0
Control,2,Non-tree V.,0.9099069696586644
Control,2,Temperate broadleaf,1.8751737938989744e-5
Control,2,Conifers (other),0.055332043606225664
Control,2,Pioneering broadleaf,0.031744922678938636
Control,2,Needleleaf evergreen,0.002997312318232463
Control,3,Non-tree V.,0.9119037935058978
Control,3,Temperate broadleaf,1.0391352414516059e-4
Control,3,Conifers (other),0.052693381379191925
Control,3,Pioneering broadleaf,0.02859218317319332
Control,3,Needleleaf evergreen,0.006706728417571596
Control,4,Non-tree V.,0.9065383531679696
Control,4,Temperate broadleaf,2.3943448926163222e-4
Control,4,Conifers (other),0.05463978582630948
Control,4,Pioneering broadleaf,0.029122426524625062
Control,4,Needleleaf evergreen,0.009459999991834113
Control,5,Non-tree V.,0.9028061977034343
Control,5,Temperate broadleaf,2.691504477052872e-4
Control,5,Conifers (other),0.05497921495679227
Control,5,Pioneering broadleaf,0.031101591291947988
Control,5,Needleleaf evergreen,0.010843845600119884
Control,6,Non-tree V.,0.8952072239220568
Control,6,Temperate broadleaf,3.090869151235235e-4
Control,6,Conifers (other),0.05859618418996282
Control,6,Pioneering broadleaf,0.033710238076067406
Control,6,Needleleaf evergreen,0.012177266896789525
Control,7,Non-tree V.,0.868768736661563
Control,7,Temperate broadleaf,5.45510788866922e-4
Control,7,Conifers (other),0.06189753724779876
Control,7,Pioneering broadleaf,0.035844945829417274
Control,7,Needleleaf evergreen,0.032943269472354174
Control,8,Non-tree V.,0.8549185562378696
Control,8,Temperate broadleaf,6.346974146393106e-4
Control,8,Conifers (other),0.0684076875991957
Control,8,Pioneering broadleaf,0.038831796907703796
Control,8,Needleleaf evergreen,0.03720726184059174
Control,9,Non-tree V.,0.8398812803559753
Control,9,Temperate broadleaf,7.308801622483283e-4
Control,9,Conifers (other),0.07545084620716254
Control,9,Pioneering broadleaf,0.041684893234331624
Control,9,Needleleaf evergreen,0.04225210004028222
Control,10,Non-tree V.,0.8238530366147149
Control,10,Temperate broadleaf,8.530922879785573e-4
Control,10,Conifers (other),0.08300968098888263
Control,10,Pioneering broadleaf,0.04429176709275943
Control,10,Needleleaf evergreen,0.04799242301566472
Control,11,Non-tree V.,0.8067671589147359
Control,11,Temperate broadleaf,0.0010036185937457192
Control,11,Conifers (other),0.09095078758934058
Control,11,Pioneering broadleaf,0.04708026555633905
Control,11,Needleleaf evergreen,0.05419816934583882
Control,12,Non-tree V.,0.7813479535017602
Control,12,Temperate broadleaf,0.0012561310737377628
Control,12,Conifers (other),0.09708498715343453
Control,12,Pioneering broadleaf,0.049172128831479485
Control,12,Needleleaf evergreen,0.07113879943958822
Control,13,Non-tree V.,0.7616046670960955
Control,13,Temperate broadleaf,0.0014768000898252884
Control,13,Conifers (other),0.1052073775192716
Control,13,Pioneering broadleaf,0.05215580777592185
Control,13,Needleleaf evergreen,0.0794692741844049
Control,14,Non-tree V.,0.7411929674097043
Control,14,Temperate broadleaf,0.0016966501437985727
Control,14,Conifers (other),0.11335182673953983
Control,14,Pioneering broadleaf,0.05532699115292386
Control,14,Needleleaf evergreen,0.08843156455403327
Control,15,Non-tree V.,0.7202829448124713
Control,15,Temperate broadleaf,0.00197802471029329
Control,15,Conifers (other),0.12143310663014291
Control,15,Pioneering broadleaf,0.05860268318885542
Control,15,Needleleaf evergreen,0.097617167323756
Control,16,Non-tree V.,0.6994735017150677
Control,16,Temperate broadleaf,0.0022563541035569255
Control,16,Conifers (other),0.12943274370685598
Control,16,Pioneering broadleaf,0.0617788480709867
Control,16,Needleleaf evergreen,0.10697247906905176
Control,17,Non-tree V.,0.6755580587242197
Control,17,Temperate broadleaf,0.0025847529627279274
Control,17,Conifers (other),0.1351231032069898
Control,17,Pioneering broadleaf,0.06461307962655037
Control,17,Needleleaf evergreen,0.12203493214503135
Control,18,Non-tree V.,0.6555697694900984
Control,18,Temperate broadleaf,0.0029118849680025657
Control,18,Conifers (other),0.14215903858174198
Control,18,Pioneering broadleaf,0.06771750773559093
Control,18,Needleleaf evergreen,0.131641799224566
Control,19,Non-tree V.,0.6364388228405081
Control,19,Temperate broadleaf,0.0032551343467118183
Control,19,Conifers (other),0.14852908384743135
Control,19,Pioneering broadleaf,0.07085210295631772
Control,19,Needleleaf evergreen,0.14092485600903046
Control,20,Non-tree V.,0.6181587412970965
