s,age,mean_diff
Control,0,0
Control,1,0
Control,2,0.07152283595465658
Control,3,0.09055550512765292
Control,4,0.10887544317520124
Control,5,0.12861902495750535
Control,6,0.14077591430619205
Control,7,0.15638766966182524
Control,8,0.1612669064633458
Control,9,0.1635119688988249
Control,10,0.1661256550227833
Control,11,0.16737919968878426
Control,12,0.1726559000997019
Control,13,0.17519286430830017
Control,14,0.17659597831198234
Control,15,0.17920110903023972
Control,16,0.18285147261126009
Control,17,0.18949308003545276
Control,18,0.19480046197119769
Control,19,0.2028965063236988
Control,20,0.20913067861591017
Control,21,0.21766642423856966
Control,22,0.2299744401718322
Control,23,0.2380050261465696
Control,24,0.24660317485883976
Control,25,0.25609389690581164
Control,26,0.2653859764168224
Control,27,0.2767337070840236
Control,28,0.28657400363379554
Control,29,0.2965841752310329
Control,30,0.30554522386534194
Control,31,0.3143881941268418
Control,32,0.3260601991611781
Control,33,0.33557986539522044
Control,34,0.34566534385985653
Control,35,0.35326728359611065
Control,36,0.36106377810162504
Control,37,0.37239909922705244
Control,38,0.380749733590977
Control,39,0.389138879276204
Control,40,0.39752313861432176
Control,41,0.4053656642463813
Control,42,0.41495568999871685
Control,43,0.4222350181366885
Control,44,0.4313529312044613
Control,45,0.44025519904986854
Control,46,0.4492263469102182
Control,47,0.4594400831930862
Control,48,0.4666275933648826
Control,49,0.47316646839887955
Control,50,0.4808618707662704
Control,51,0.4903155662227272
Control,52,0.5001828279023259
Control,53,0.5078160765097239
Control,54,0.5158341170899152
Control,55,0.5240460517804857
Control,56,0.5323567091719137
Control,57,0.5434159745433192
Control,58,0.5526554943476774
Control,59,0.5598571764327696
Control,60,0.56820420327479
Control,61,0.5761620404924409
Control,62,0.5857628026578686
Control,63,0.5944982019902986
Control,64,0.6028056292305787
Control,65,0.6110978509708868
Control,66,0.6192761412078553
Control,67,0.6296216762640079
Control,68,0.6344772331397771
Control,69,0.6425880669607673
Control,70,0.6513507280218117
Control,71,0.6609622958468123
Control,72,0.6709992175024619
Control,73,0.6787826307612678
Control,74,0.6872693925922767
Control,75,0.6972567026435902
Control,76,0.7071534572923355
Control,77,0.720194603234167
Control,78,0.7269802199585744
Control,79,0.7350709179801589
Control,80,0.7441301592413008
Control,81,0.7522836799128766
Control,82,0.7620685217311672
Control,83,0.7711327043896564
Control,84,0.7792178109348669
Control,85,0.7875673697019544
Control,86,0.7963460804002703
Control,87,0.8054852423414343
