age,PFT_long,relative_mean,s
0,BNE,0,Control
0,IBS,0,Control
0,TeBS,0,Control
0,Tundra,0,Control
0,otherC,0,Control
1,BNE,0,Control
1,IBS,0,Control
1,TeBS,0,Control
1,Tundra,0,Control
1,otherC,0,Control
2,BNE,0.003815994057585265,Control
2,IBS,0.03189724592752475,Control
2,TeBS,2.696217207258226e-5,Control
2,Tundra,0.8906041901557419,Control
2,otherC,0.05683121231378423,Control
3,BNE,0.007540092392046955,Control
3,IBS,0.031177471339953477,Control
3,TeBS,7.651433537439309e-5,Control
3,Tundra,0.8894869531736501,Control
3,otherC,0.05489457338568374,Control
4,BNE,0.009802430135475815,Control
4,IBS,0.03269315716374199,Control
4,TeBS,3.479356513996592e-4,Control
4,Tundra,0.8833464930946734,Control
4,otherC,0.05698558858141782,Control
5,BNE,0.010975139697687758,Control
5,IBS,0.03627634101973749,Control
5,TeBS,3.6865971590655194e-4,Control
5,Tundra,0.8777615244542053,Control
5,otherC,0.05779393973917168,Control
6,BNE,0.012164381522270997,Control
6,IBS,0.03997550164609974,Control
6,TeBS,4.457059301141861e-4,Control
6,Tundra,0.8686103036249578,Control
6,otherC,0.061979711903265934,Control
7,BNE,0.032171774995396134,Control
7,IBS,0.04306375741106331,Control
7,TeBS,6.579256779769313e-4,Control
7,Tundra,0.8422644622431991,Control
7,otherC,0.06501768429907326,Control
8,BNE,0.0364156968448922,Control
8,IBS,0.046898195609924025,Control
8,TeBS,7.495126419402694e-4,Control
8,Tundra,0.8272720984715286,Control
8,otherC,0.07184010105842364,Control
9,BNE,0.04110057692382346,Control
9,IBS,0.05066744711449927,Control
9,TeBS,8.028130711881556e-4,Control
9,Tundra,0.8113109015686367,Control
9,otherC,0.0792938659485611,Control
10,BNE,0.04619574256121067,Control
10,IBS,0.05368820095334237,Control
10,TeBS,8.638635624641834e-4,Control
10,Tundra,0.7952097565986314,Control
10,otherC,0.0872180409510601,Control
11,BNE,0.05200050985200608,Control
11,IBS,0.057091896921753336,Control
