s,age,PFT,relative_mean
Control,0,Non-tree V.,0
Control,0,Temperate broadleaf,0
Control,0,Conifers (other),0
Control,0,Pioneering broadleaf,0
Control,0,Needleleaf evergreen,0
Control,1,Non-tree V.,0
Control,1,Temperate broadleaf,0
Control,1,Conifers (other),0
Control,1,Pioneering broadleaf,0
Control,1,Needleleaf evergreen,0
Control,2,Non-tree V.,0.9080969399251347
Control,2,Temperate broadleaf,2.1292604941219475e-5
Control,2,Conifers (other),0.056680710103772985
Control,2,Pioneering broadleaf,0.031758529965617115
Control,2,Needleleaf evergreen,0.0034425274005339553
Control,3,Non-tree V.,0.9082312348899776
Control,3,Temperate broadleaf,1.489109121939908e-4
Control,3,Conifers (other),0.05476950660585976
Control,3,Pioneering broadleaf,0.029452738849946546
Control,3,Needleleaf evergreen,0.007397608742022244
Control,4,Non-tree V.,0.902169094751476
Control,4,Temperate broadleaf,3.0034369714450966e-4
Control,4,Conifers (other),0.056789299029511804
Control,4,Pioneering broadleaf,0.030750837195943705
Control,4,Needleleaf evergreen,0.009990425325924038
Control,5,Non-tree V.,0.8976799322982074
Control,5,Temperate broadleaf,3.401307920842153e-4
Control,5,Conifers (other),0.057600385701283986
Control,5,Pioneering broadleaf,0.03308472450604673
Control,5,Needleleaf evergreen,0.011294826702377584
Control,6,Non-tree V.,0.8897275106963092
Control,6,Temperate broadleaf,3.7150075591293704e-4
Control,6,Conifers (other),0.06135195969009221
Control,6,Pioneering broadleaf,0.03593346987477213
Control,6,Needleleaf evergreen,0.01261555898291363
Control,7,Non-tree V.,0.8624176189562657
Control,7,Temperate broadleaf,6.466497354040959e-4
Control,7,Conifers (other),0.06470946021539081
Control,7,Pioneering broadleaf,0.03822025688490007
Control,7,Needleleaf evergreen,0.03400601420803931
Control,8,Non-tree V.,0.8483234934611371
Control,8,Temperate broadleaf,7.372004626005535e-4
Control,8,Conifers (other),0.07133349548792031
Control,8,Pioneering broadleaf,0.04135805153684718
Control,8,Needleleaf evergreen,0.038247759051495085
Control,9,Non-tree V.,0.8328498398889076
Control,9,Temperate broadleaf,8.521752491822825e-4
Control,9,Conifers (other),0.07852018549572304
Control,9,Pioneering broadleaf,0.04428823981015952
Control,9,Needleleaf evergreen,0.043489559556027436
Control,10,Non-tree V.,0.8165752335360473
Control,10,Temperate broadleaf,9.908287873591644e-4
Control,10,Conifers (other),0.0861771645613621
Control,10,Pioneering broadleaf,0.04700965888246966
Control,10,Needleleaf evergreen,0.0492471142327616
Control,11,Non-tree V.,0.7992409957084052
Control,11,Temperate broadleaf,0.0011664110427319066
Control,11,Conifers (other),0.0941482146953734
Control,11,Pioneering broadleaf,0.049930829780521935
Control,11,Needleleaf evergreen,0.055513548772967526
Control,12,Non-tree V.,0.7734560277736979
Control,12,Temperate broadleaf,0.001413973193158923
Control,12,Conifers (other),0.10043856267016205
Control,12,Pioneering broadleaf,0.05222936698007881
Control,12,Needleleaf evergreen,0.07246206938290203
Control,13,Non-tree V.,0.7530935604375776
Control,13,Temperate broadleaf,0.001628310281555717
Control,13,Conifers (other),0.10868189188233053
Control,13,Pioneering broadleaf,0.055582597044157286
Control,13,Needleleaf evergreen,0.08101364035437862
Control,14,Non-tree V.,0.7320662218273211
Control,14,Temperate broadleaf,0.0018766945168074594
Control,14,Conifers (other),0.11697861265290888
Control,14,Pioneering broadleaf,0.05901488349386928
Control,14,Needleleaf evergreen,0.09006358750909312
Control,15,Non-tree V.,0.7105179950492231
Control,15,Temperate broadleaf,0.0021700697831395135
Control,15,Conifers (other),0.12525147816336393
Control,15,Pioneering broadleaf,0.06267669089021584
Control,15,Needleleaf evergreen,0.09938376611405816
Control,16,Non-tree V.,0.6890869741448002
Control,16,Temperate broadleaf,0.0024563502091306763
Control,16,Conifers (other),0.1333951805766646
Control,16,Pioneering broadleaf,0.06630321834499664
Control,16,Needleleaf evergreen,0.1087582767244076
Control,17,Non-tree V.,0.6644419206795167
Control,17,Temperate broadleaf,0.0027853786031473097
Control,17,Conifers (other),0.139172596194879
Control,17,Pioneering broadleaf,0.06945316828763001
Control,17,Needleleaf evergreen,0.12414693623482674
Control,18,Non-tree V.,0.6442090946202023
Control,18,Temperate broadleaf,0.0031247497823686217
Control,18,Conifers (other),0.14599565905566428
Control,18,Pioneering broadleaf,0.07292444560975121
Control,18,Needleleaf evergreen,0.1337460509320133
Control,19,Non-tree V.,0.6247228625721065
Control,19,Temperate broadleaf,0.0034566734488961936
Control,19,Conifers (other),0.15238898816352833
Control,19,Pioneering broadleaf,0.07633020852277077
Control,19,Needleleaf evergreen,0.14310126729269787
Control,20,Non-tree V.,0.6064194194750887
