tas_smoothed,class,length_transient,Lon,Lat,PID,s,length_transient_trans
275.9715118408203,0,0,-159.25,63.25,18,SSP1-RCP2.6,0
277.1409149169922,0,0,-159.25,63.25,22,SSP1-RCP2.6,0
277.02088623046876,1,84,-148.75,65.25,17,SSP1-RCP2.6,0.9621396430309408
275.68418273925784,1,66,-148.75,65.25,18,Control,0.9097719677709344
277.2813446044922,1,84,-148.75,65.25,24,SSP1-RCP2.6,0.9621396430309408
275.7736480712891,1,70,-148.75,65.25,24,Control,0.9225490200071284
276.23297729492185,1,81,-145.25,67.25,16,SSP5-RCP8.5,0.9542425094393248
277.1792327880859,2,0,-135.25,61.75,16,SSP1-RCP2.6,0
274.4121826171875,2,0,-135.25,61.75,17,Control,0
279.7271423339844,1,89,-135.25,61.75,21,SSP5-RCP8.5,0.9746950033224564
276.7170104980469,0,0,-126.25,57.75,19,SSP1-RCP2.6,0
274.68140563964846,0,0,-126.25,57.75,21,Control,0
270.7135284423828,2,0,-125.25,62.75,16,Control,0
270.6973052978516,0,0,-125.25,62.75,22,Control,0
280.8527465820313,1,91,-120.75,61.25,23,SSP5-RCP8.5,0.9795206961605468
278.5876922607422,1,85,-120.75,61.25,24,SSP1-RCP2.6,0.9647094628571464
275.20696716308595,2,0,-120.25,60.25,17,Control,0
280.1553894042969,1,89,-120.25,60.25,23,SSP5-RCP8.5,0.9746950033224564
275.66625061035154,2,0,-120.25,60.25,23,Control,0
276.9195037841797,1,78,-111.75,61.75,18,SSP1-RCP2.6,0.9460473013452402
276.7936309814453,2,9,-111.75,61.75,20,SSP1-RCP2.6,0.4771212547196624
276.9195037841797,1,14,-111.75,61.75,23,SSP1-RCP2.6,0.573064017839119
280.8318786621094,1,89,-110.75,60.25,17,SSP5-RCP8.5,0.9746950033224564
278.16441650390624,1,72,-110.75,60.25,18,SSP1-RCP2.6,0.9286662482156344
279.01759033203126,1,53,-108.75,53.75,24,Control,0.8621379348003946
278.4519744873047,1,75,-107.75,59.25,16,SSP1-RCP2.6,0.93753063169585
278.3865112304687,1,68,-107.75,59.25,18,SSP1-RCP2.6,0.9162544563531182
281.36012268066406,1,87,-107.25,59.25,17,SSP5-RCP8.5,0.9697596263093092
