"Lon" "Lat" "Year" "BNE" "BINE" "BNS" "IBS" "TeBS" "TeNE" "C3G" "HSE" "HSS" "LSE" "LSS" "GRT" "EPDS" "SPDS" "CLM" "Total"
-164.25 54.75 2005 6.472 0.18 0 0 0 0 0.012 0.027 0.004 0.001 0.001 0 0 0 0 6.698
-155.75 57.75 2005 3.943 0.365 0 0.001 0 0 0.013 0.027 0.017 0.001 0.001 0 0 0 0 4.367
-151.25 66.25 2005 3.611 0.887 0 0.067 0 0 0.047 0 0.079 0.003 0.01 0 0 0 0 4.705
-138.75 63.25 2005 3.537 0.707 0 0.002 0 0 0.023 0 0.019 0.001 0.003 0 0 0 0 4.293
-128.25 57.75 2005 2.286 0.23 0 0 0 0 0.206 0 0.013 0.008 0.009 0 0 0 0 2.751
-123.75 63.25 2005 0.889 0.953 4.556 0.021 0 0 0.023 0 0.097 0.002 0.007 0 0 0 0 6.549
-118.25 59.25 2005 3.683 1.788 0 2.536 0 0 0.028 0 0.087 0.001 0.005 0 0 0 0 8.129
-113.25 57.25 2005 3.559 1.783 0 1.37 0 0 0.033 0 0.102 0.003 0.01 0 0 0 0 6.86
-108.75 55.25 2005 4.293 0.592 0 2.039 0 0 0.026 0 0.091 0.001 0.003 0 0 0 0 7.044
-104.25 57.75 2005 2.136 0.101 0 0.001 0 0 0.071 0 0.009 0.005 0.013 0 0 0 0 2.336
-98.75 56.75 2005 1.824 0.278 0 0.05 0 0 0.095 0 0.047 0.003 0.011 0 0 0 0 2.309
-94.25 56.25 2005 1.824 0.248 0 0.009 0 0 0.092 0 0.041 0.002 0.007 0 0 0 0 2.222
-90.25 48.75 2005 4.536 2.056 0 0.843 0 0 0.035 0 0.024 0.002 0.004 0 0 0 0 7.5
-86.75 49.75 2005 4.121 0.448 0 0.012 0 0 0.045 0 0.027 0.001 0.004 0 0 0 0 4.659
-83.25 54.25 2005 2.335 0.214 0 0.025 0 0 0.101 0 0.059 0.003 0.01 0 0 0 0 2.747
-77.25 48.25 2005 2.708 0.242 0 0.004 0 0 0.097 0 0.029 0.003 0.01 0 0 0 0 3.094
-73.25 50.75 2005 2.192 0.097 0 0 0 0 0.089 0 0.002 0.001 0.002 0 0 0 0 2.382
-66.75 48.25 2005 3.743 0.483 0 0.011 0 0 0.046 0.025 0.031 0.001 0.002 0 0 0 0 4.34
-59.75 54.25 2005 0.153 0.022 0 0.001 0 0 0.124 0 0.022 0.006 0.015 0 0 0 0 0.343
13.25 61.75 2005 3.537 0.169 0 0.001 0 0 0.028 0.027 0.011 0.001 0.003 0 0 0 0 3.777
19.75 63.75 2005 5.58 0.757 0 0.003 0.003 0 0.032 0.009 0.016 0.002 0.005 0 0 0 0 6.406
25.25 64.25 2005 5.027 0.922 0 0.009 0 0 0.022 0.013 0.028 0 0.002 0 0 0 0 6.024
28.75 61.75 2005 3.536 0.849 0 0.296 1.133 0 0.032 0.025 0.092 0.002 0.006 0 0 0 0 5.971
32.25 61.25 2005 5.684 1.887 0 0.44 0.343 0 0.031 0.011 0.044 0.001 0.006 0 0 0 0 8.447
35.25 62.75 2005 4.456 0.244 0 0.002 0 0 0.043 0.014 0.014 0.002 0.005 0 0 0 0 4.779
38.75 66.75 2005 2.972 0.309 0 0.006 0 0 0.044 0.029 0.064 0.001 0.004 0 0 0 0 3.431
42.25 65.25 2005 2.493 0.085 0 0.001 0 0 0.05 0 0.019 0.003 0.005 0 0 0 0 2.655
45.75 61.25 2005 3.034 0.355 0 0.951 0 0 0.108 0.003 0.104 0.006 0.021 0 0 0 0 4.581
48.75 63.25 2005 2.602 0.467 0 0.46 0 0 0.109 0 0.096 0.001 0.007 0 0 0 0 3.742
