month,mean,min,max,s
apr,456.19208127185715,456.19208127185715,456.19208127185715,Control
aug,906.5268282078372,906.5268282078372,906.5268282078372,Control
dec,595.4095667874399,595.4095667874399,595.4095667874399,Control
feb,418.7303023669455,418.7303023669455,418.7303023669455,Control
jan,445.1519600779046,445.1519600779046,445.1519600779046,Control
jul,918.8943007624505,918.8943007624505,918.8943007624505,Control
jun,753.8124751109891,753.8124751109891,753.8124751109891,Control
mar,414.5082758837895,414.5082758837895,414.5082758837895,Control
may,555.1687525274442,555.1687525274442,555.1687525274442,Control
nov,693.1330834504819,693.1330834504819,693.1330834504819,Control
oct,805.6548490671665,805.6548490671665,805.6548490671665,Control
sep,875.4850349313303,875.4850349313303,875.4850349313303,Control
apr,497.1635313767876,497.1635313767876,497.1635313767876,SSP1-RCP2.6
aug,955.4061503565827,955.4061503565827,955.4061503565827,SSP1-RCP2.6
dec,589.8061680252816,589.8061680252816,589.8061680252816,SSP1-RCP2.6
feb,497.10997750216376,497.10997750216376,497.10997750216376,SSP1-RCP2.6
jan,573.7125139019097,573.7125139019097,573.7125139019097,SSP1-RCP2.6
jul,975.8486968418879,975.8486968418879,975.8486968418879,SSP1-RCP2.6
jun,864.3958348090256,864.3958348090256,864.3958348090256,SSP1-RCP2.6
mar,504.06160555435105,504.06160555435105,504.06160555435105,SSP1-RCP2.6
may,691.6571887052105,691.6571887052105,691.6571887052105,SSP1-RCP2.6
nov,699.4984042826726,699.4984042826726,699.4984042826726,SSP1-RCP2.6
oct,791.5188767422343,791.5188767422343,791.5188767422343,SSP1-RCP2.6
sep,804.7307628242379,804.7307628242379,804.7307628242379,SSP1-RCP2.6
apr,682.383840772984,682.383840772984,682.383840772984,SSP5-RCP8.5
aug,1016.7495711325249,1016.7495711325249,1016.7495711325249,SSP5-RCP8.5
dec,774.661988052469,774.661988052469,774.661988052469,SSP5-RCP8.5
feb,619.4774404116373,619.4774404116373,619.4774404116373,SSP5-RCP8.5
jan,721.9779302524328,721.9779302524328,721.9779302524328,SSP5-RCP8.5
jul,1085.5146970999178,1085.5146970999178,1085.5146970999178,SSP5-RCP8.5
jun,1054.840164284519,1054.840164284519,1054.840164284519,SSP5-RCP8.5
mar,676.5949662181032,676.5949662181032,676.5949662181032,SSP5-RCP8.5
may,919.795399094165,919.795399094165,919.795399094165,SSP5-RCP8.5
nov,786.5666930879097,786.5666930879097,786.5666930879097,SSP5-RCP8.5
oct,910.7075195678226,910.7075195678226,910.7075195678226,SSP5-RCP8.5
sep,919.6995059707583,919.6995059707583,919.6995059707583,SSP5-RCP8.5
