month,mean,min,max,s
apr,477.3191041939437,392.2270020267872,596.1817074689643,Control
aug,918.0112197007586,721.9770514655862,1110.9363244948267,Control
dec,569.8792685569969,364.5722471738152,690.8333485794445,Control
feb,439.643569431154,347.75105618952296,539.7036788069439,Control
jan,485.96863171916266,398.7304777841856,589.1930281729689,Control
jul,884.323590133525,800.6620554527752,955.5232137666559,Control
jun,754.98428178906,630.4081948848927,864.9058011600483,Control
mar,437.73159973729474,310.3490383460457,526.5466466854916,Control
may,570.2627687328131,457.38094425302995,637.9978544320494,Control
nov,691.9986290857252,551.0500413797556,796.0981480779618,Control
oct,762.6515025889664,564.9387893152176,896.3729856679504,Control
sep,823.6654904940274,671.9213840017385,947.4405834463183,Control
apr,501.11366939250496,382.5712622359885,571.8724925059406,SSP1-RCP2.6
aug,962.2569393432995,797.1105801332723,1081.5657988670446,SSP1-RCP2.6
dec,567.9414398203147,445.55734661748807,696.5736834595987,SSP1-RCP2.6
feb,499.12395531070354,390.2239269564684,621.4441630480682,SSP1-RCP2.6
jan,548.1136490142648,355.11038167763564,651.0421693865493,SSP1-RCP2.6
jul,966.2273823770739,887.8849893309886,1076.4432429224807,SSP1-RCP2.6
jun,889.7867603344562,800.7177207141433,969.4560790232788,SSP1-RCP2.6
mar,484.2771084428928,309.1124169306914,561.4791765068042,SSP1-RCP2.6
may,700.7848760059544,568.6485346522844,817.5358952851312,SSP1-RCP2.6
nov,713.315044042578,558.9846102890748,835.2662384900159,SSP1-RCP2.6
oct,793.0873882110008,674.7218362465986,987.1140711552954,SSP1-RCP2.6
sep,816.8109923678923,727.7429490656705,896.8890980243084,SSP1-RCP2.6
apr,672.9838450911848,567.2300698937117,777.9404096022027,SSP5-RCP8.5
aug,1004.085331080349,891.7198344175414,1111.637189426097,SSP5-RCP8.5
dec,785.2037735346382,530.3613661239795,957.9175569898833,SSP5-RCP8.5
feb,605.764705220156,428.28163482435167,799.5720421153466,SSP5-RCP8.5
jan,706.4757220000778,566.2575063164111,865.4661218685128,SSP5-RCP8.5
jul,1088.9944399999258,949.8336272569717,1253.777210804305,SSP5-RCP8.5
jun,992.4259826036215,888.6664691506554,1181.9209004479983,SSP5-RCP8.5
mar,608.122084661439,440.1365843297852,785.8579033602147,SSP5-RCP8.5
may,896.5050834692789,794.0668162080381,1011.5909382330116,SSP5-RCP8.5
nov,843.1041232767107,690.0492054519717,1056.4369810729431,SSP5-RCP8.5
oct,880.7574900121393,739.4497417497472,1030.2565106061452,SSP5-RCP8.5
sep,923.9878801813803,747.2795316769354,1116.6750821291894,SSP5-RCP8.5
